b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
315,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
316,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
317,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
318,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
319,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
320,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
321,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
322,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
323,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
324,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
325,235.99589743589743,11101087.17948718,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657,1.0
326,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
327,236.00410256410257,11101102.564102564,1.0,1.0,0.0002564102564102,0.0,0.0,0.9997435897435898
328,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
329,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
330,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
331,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
332,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
333,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
334,236.00615384615384,11101103.846153846,1.0,1.0,0.0003846153846153,0.0,0.0,0.9996153846153847
335,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
336,235.9876923076923,11100948.717948718,0.9998717948717948,0.9997435897435898,0.0002564102564102,0.00012820512820521657,0.0002564102564102111,0.9997435897435898
337,235.99589743589743,11101087.17948718,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657,1.0
338,235.99589743589743,11101076.923076924,1.0,0.9997435897435898,0.0002564102564102,0.0,0.0002564102564102111,0.9997435897435898
339,235.99794871794876,11101088.461538462,1.0,0.9998717948717948,0.0001282051282051,0.0,0.00012820512820521657,0.9998717948717949
340,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
341,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
342,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
343,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
344,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
345,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
346,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
347,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
348,236.00410256410257,11101102.564102564,1.0,1.0,0.0002564102564102,0.0,0.0,0.9997435897435898
349,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
350,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
351,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
352,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
353,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
354,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
355,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
356,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
357,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
358,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
359,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
360,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
361,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
362,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
363,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
364,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
365,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
366,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
367,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
368,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
369,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
370,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
371,236.00410256410257,11101102.564102564,1.0,1.0,0.0002564102564102,0.0,0.0,0.9997435897435898
372,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
373,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
374,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
375,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
376,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
377,235.9897435897436,11100960.256410256,0.9998717948717948,0.9998717948717948,0.0001282051282051,0.00012820512820521657,0.00012820512820521657,0.9998717948717949
378,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
379,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
380,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
381,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
382,235.99794871794876,11101088.461538462,1.0,0.9998717948717948,0.0001282051282051,0.0,0.00012820512820521657,0.9998717948717949
383,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
384,236.00820512820516,11101105.128205128,1.0,1.0,0.0005128205128205,0.0,0.0,0.9994871794871795
385,236.00410256410257,11101102.564102564,1.0,1.0,0.0002564102564102,0.0,0.0,0.9997435897435898
386,236.00410256410257,11101102.564102564,1.0,1.0,0.0002564102564102,0.0,0.0,0.9997435897435898
387,236.00410256410257,11101102.564102564,1.0,1.0,0.0002564102564102,0.0,0.0,0.9997435897435898
388,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
389,236.0,11101058.974358974,1.0,0.9994871794871796,0.001025641025641,0.0,0.0005128205128204222,0.998974358974359
390,236.00205128205127,11101091.025641026,1.0,0.9998717948717948,0.0003846153846153,0.0,0.00012820512820521657,0.9996153846153847
391,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
392,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
393,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
394,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
395,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
396,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
397,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
398,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
399,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
400,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
401,236.00205128205127,11101101.282051282,1.0,1.0,0.0001282051282051,0.0,0.0,0.9998717948717949
402,235.99589743589743,11101087.17948718,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657,1.0
403,236.0,11101100.0,1.0,1.0,0.0,0.0,0.0,1.0
