b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
222,230.5684210526316,10962631.578947367,0.8526315789473684,1.0,1.0,0.1473684210526316,0.0,0.0
223,229.08631578947367,10939473.684210526,0.8294736842105264,1.0,1.0,0.17052631578947364,0.0,0.0
224,227.46947368421053,10914210.52631579,0.8042105263157895,1.0,1.0,0.1957894736842105,0.0,0.0
225,226.13894736842104,10893421.05263158,0.7834210526315789,1.0,1.0,0.2165789473684211,0.0,0.0
226,224.38315789473685,10866050.0,0.7560526315789474,1.0,0.9997368421052631,0.24394736842105258,0.0,0.000263157894736854
227,222.85052631578947,10839997.368421054,0.7326315789473684,1.0,0.9997368421052631,0.2673684210526316,0.0,0.000263157894736854
228,221.6421052631579,10823157.89473684,0.7131578947368421,1.0,1.0,0.2868421052631579,0.0,0.0
229,220.6147368421053,10807105.263157897,0.6971052631578948,1.0,1.0,0.3028947368421052,0.0,0.0
230,218.44210526315788,10773157.89473684,0.6631578947368421,1.0,1.0,0.33684210526315794,0.0,0.0
231,215.9494736842105,10734210.52631579,0.6242105263157894,1.0,1.0,0.37578947368421056,0.0,0.0
232,214.8168421052632,10716576.315789474,0.6065789473684211,1.0,0.9997368421052631,0.3934210526315789,0.0,0.000263157894736854
233,213.94526315789477,10702894.736842103,0.5928947368421053,1.0,1.0,0.40710526315789475,0.0,0.0
234,209.7684210526316,10637631.578947367,0.5276315789473685,1.0,1.0,0.47236842105263155,0.0,0.0
235,208.30315789473684,10612631.578947367,0.5052631578947369,1.0,1.0,0.49473684210526314,0.0,0.0
236,206.6357894736842,10588684.210526315,0.4786842105263157,1.0,1.0,0.5213157894736843,0.0,0.0
237,205.3515789473684,10568681.578947367,0.4586842105263158,1.0,0.9997368421052631,0.5413157894736842,0.0,0.000263157894736854
238,202.69473684210527,10527105.263157897,0.4171052631578947,1.0,1.0,0.5828947368421054,0.0,0.0
239,200.1515789473684,10487368.421052633,0.3773684210526316,1.0,1.0,0.6226315789473684,0.0,0.0
240,198.60210526315788,10461052.631578946,0.3536842105263157,1.0,1.0,0.6463157894736843,0.0,0.0
241,197.09052631578948,10433413.157894736,0.3313157894736842,1.0,0.9992105263157894,0.6686842105263158,0.0,0.0007894736842105621
242,195.80631578947367,10419473.684210526,0.3094736842105263,1.0,1.0,0.6905263157894737,0.0,0.0
243,193.78526315789475,10387894.736842103,0.2778947368421052,1.0,1.0,0.7221052631578948,0.0,0.0
244,192.69052631578947,10370789.47368421,0.2607894736842105,1.0,1.0,0.7392105263157895,0.0,0.0
245,191.3768421052632,10350263.157894736,0.2402631578947368,1.0,1.0,0.7597368421052633,0.0,0.0
246,189.5578947368421,10321842.10526316,0.2118421052631579,1.0,1.0,0.7881578947368422,0.0,0.0
247,187.75578947368425,10293684.210526315,0.1836842105263157,1.0,1.0,0.8163157894736843,0.0,0.0
248,187.5536842105263,10290526.315789474,0.1805263157894736,1.0,1.0,0.8194736842105264,0.0,0.0
249,187.14947368421053,10284210.52631579,0.1742105263157894,1.0,1.0,0.8257894736842106,0.0,0.0
250,186.02105263157893,10266578.94736842,0.156578947368421,1.0,1.0,0.843421052631579,0.0,0.0
251,186.02105263157893,10266578.94736842,0.156578947368421,1.0,1.0,0.843421052631579,0.0,0.0
252,178.94736842105263,10156052.631578946,0.0460526315789473,1.0,1.0,0.9539473684210527,0.0,0.0
253,178.66105263157894,10151578.94736842,0.041578947368421,1.0,1.0,0.958421052631579,0.0,0.0
254,177.92,10140000.0,0.03,1.0,1.0,0.97,0.0,0.0
255,177.7178947368421,10136842.10526316,0.0268421052631578,1.0,1.0,0.9731578947368422,0.0,0.0
256,177.54947368421054,10134210.52631579,0.0242105263157894,1.0,1.0,0.9757894736842107,0.0,0.0
257,177.2084210526316,10126839.47368421,0.0194736842105263,1.0,0.9997368421052631,0.9805263157894737,0.0,0.000263157894736854
258,177.10736842105263,10127365.789473685,0.0173684210526315,1.0,0.9997368421052631,0.9826315789473685,0.0,0.000263157894736854
259,176.61473684210526,10119731.578947367,0.0097368421052631,1.0,0.9994736842105264,0.990263157894737,0.0,0.000526315789473597
260,176.65684210526317,10116052.631578946,0.0113157894736842,1.0,1.0,0.9886842105263158,0.0,0.0
261,176.36631578947367,10109471.05263158,0.0073684210526315,1.0,0.9997368421052631,0.9926315789473685,0.0,0.000263157894736854
262,176.4378947368421,10116842.10526316,0.0068421052631578,1.0,1.0,0.9931578947368422,0.0,0.0
